uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:é,skos:Concept,é,colt:quartaireeenheid,,Zandig/kleiig - silteus complex,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:ô,skos:Concept,ô,colt:quartaireeenheid,,"Holoceen, continentaal eolisch",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:õ,skos:Concept,õ,colt:quartaireeenheid,,"Holoceen, Pleistoceen, continentaal eolisch",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:ÿ,skos:Concept,ÿ,colt:quartaireeenheid,,Zandig complex,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:#,skos:Concept,#,colt:quartaireeenheid,,Herwerkt tertiair,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:<<,skos:Concept,<<,colt:quartaireeenheid,,"Grind (Maas en Rijn, Eisden-Lanklaar)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:?,skos:Concept,?,colt:quartaireeenheid,,"Kleiig tot grindrijk facies (Maas en Rijn, Leut)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:],skos:Concept,],colt:quartaireeenheid,,Fining-up sequentie (Schelde),,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^,skos:Concept,^,colt:quartaireeenheid,,"Grind facies (Maas en Rijn, Zutendaal)",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^F,skos:Concept,^F,colt:quartaireeenheid,,Grindhoudend en grindrijk zand tot grind,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^H,skos:Concept,^H,colt:quartaireeenheid,,Grindrijk facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^K,skos:Concept,^K,colt:quartaireeenheid,,Grind tot grindrijk zandig facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^Q,skos:Concept,^Q,colt:quartaireeenheid,,Grindrijk facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:^W,skos:Concept,^W,colt:quartaireeenheid,,Grindrijk facies,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:a,skos:Concept,a,colt:quartaireeenheid,,"Weichseliaan, continentaal, hellingsafzettingen",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D01,skos:Concept,D01,colt:quartaireeenheid,,Zandig facies - Diachroon,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D02,skos:Concept,D02,colt:quartaireeenheid,,Grindrijk facies - Diachroon,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D03,skos:Concept,D03,colt:quartaireeenheid,,Silteus tot kleiig facies - Diachroon,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:D04,skos:Concept,D04,colt:quartaireeenheid,,Niet gedifferentieerd - Diachroon,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E01,skos:Concept,E01,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie en bedekt met eolische afzettingen - Holoceen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E02,skos:Concept,E02,colt:quartaireeenheid,,Klei en/of zand over de gehele sequentie en bedekt met een veenlaag direct onder de eolische afzettingen - Holoceen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E03,skos:Concept,E03,colt:quartaireeenheid,,Zand - Tardiglaciaal en/of Holoceen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E04,skos:Concept,E04,colt:quartaireeenheid,,Zandig facies - Laat-Pleniglaciaal (Weichselien) en/of Vroeg-Holoceen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E05,skos:Concept,E05,colt:quartaireeenheid,,Silteus facies - Laat-Pleniglaciaal (Weichselien) en/of Vroeg-Holoceen,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E06,skos:Concept,E06,colt:quartaireeenheid,,Zandig facies - Weichselien,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E07,skos:Concept,E07,colt:quartaireeenheid,,Zand tot zandleem met mogelijks in het basisgedeelte een alternatie van fijnere en grovere laagjes - Weichselien,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E08,skos:Concept,E08,colt:quartaireeenheid,,Silt (loess) - Weichselien,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E09,skos:Concept,E09,colt:quartaireeenheid,,"Homogeen silt gevolgd door silt met intercalaties van kleiige, venige en/of zandige laagjes - Weichselien",,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
ct:E10,skos:Concept,E10,colt:quartaireeenheid,,Lichte zandleem tot silt - Weichselien,,,,,,,,,,,,,cs:quartaireeenheid,,,,,,,cs:quartaireeenheid
